segment_id,zone,latitude,longitude,line_age_years,conductor_material,span_length_m,visual_condition_score,vegetation_proximity_score,past_fault_count,months_since_last_inspection,average_load_percentage,overload_hours_last_month,max_wind_speed_kmph,heavy_rainfall_days,failure_within_30_days,risk_score,risk_level,recommendation,priority_rank
LT-1528,East,12.904082,80.23486,34,AAC,36.0,10,9,0,34,92.5,48.1,83.7,5,1,96.7,Critical,Inspect within 48 hours,1
LT-1045,North,13.113943,80.161545,22,ACSR,42.6,10,8,4,31,119.2,56.4,38.8,4,1,95.5,Critical,Inspect within 48 hours,2
LT-0998,North,13.117765,80.222336,29,AAC,15.0,10,10,1,35,93.9,22.8,41.2,6,0,94.8,Critical,Inspect within 48 hours,3
LT-0479,West,12.903462,79.935658,24,AAC,35.2,6,8,3,30,108.4,71.9,49.8,6,0,94.6,Critical,Inspect within 48 hours,4
LT-0375,North,13.161825,80.186434,21,AAC,37.4,10,8,4,22,109.6,51.8,41.7,4,1,94.2,Critical,Inspect within 48 hours,5
LT-1145,East,12.880772,80.192855,33,AAC,24.8,10,10,4,19,59.1,23.0,74.4,2,1,93.9,Critical,Inspect within 48 hours,6
LT-1726,North,13.114116,80.125182,34,ACSR,43.4,9,7,2,32,72.8,16.8,51.8,7,1,93.9,Critical,Inspect within 48 hours,7
LT-1713,Central,12.942774,80.053641,19,AAC,40.9,8,7,4,20,104.1,47.7,70.6,5,1,93.9,Critical,Inspect within 48 hours,8
LT-1339,Central,12.870318,80.07684,33,AAC,16.4,8,8,3,36,70.1,7.4,49.9,4,0,93.2,Critical,Inspect within 48 hours,9
LT-0154,East,12.902685,80.226466,33,ACSR,44.8,10,8,2,23,96.0,42.1,65.1,4,1,92.9,Critical,Inspect within 48 hours,10
LT-0676,South,12.684359,79.986365,30,AAC,15.0,7,5,3,35,84.4,42.7,42.0,5,1,92.7,Critical,Inspect within 48 hours,11
LT-1052,North,13.089742,80.120094,31,AAC,47.3,6,8,3,35,89.3,36.9,30.1,5,0,91.8,Critical,Inspect within 48 hours,12
LT-0025,West,12.94334,80.001909,33,ACSR,26.5,10,1,1,34,93.8,3.0,70.9,7,1,91.1,Critical,Inspect within 48 hours,13
